cells,index,warmup,record_bytes,create_decide_ns,allocated_bytes,replay_ns
1,0,true,277,23134789,136224,850425
1,1,true,277,11904049,21216,477987
1,2,true,277,12468938,21256,635378
1,3,true,277,11092980,21256,823776
1,4,true,277,10653483,21216,816842
1,5,true,277,10657767,21256,581458
1,6,true,277,10813512,21216,638438
1,7,true,277,10836403,22152,721593
1,8,false,277,10335228,21256,397345
1,9,false,278,11056611,21352,517659
1,10,false,279,10564851,21392,417957
1,11,false,279,11284428,21216,424373
1,12,false,279,10604280,21400,492857
1,13,false,279,11094911,21256,269632
1,14,false,279,11336808,21216,664708
1,15,false,279,12406194,21256,476753
1,16,false,279,10855369,21216,376574
1,17,false,279,11728411,21256,438304
1,18,false,279,15212990,21256,416806
1,19,false,279,11208313,21216,601416
1,20,false,279,10525516,21256,621816
1,21,false,279,10748880,21216,233495
1,22,false,279,10486845,21256,423983
1,23,false,279,10291473,21256,285420
1,24,false,279,10558096,21488,369440
1,25,false,279,11325599,21256,582967
1,26,false,279,9931182,21216,258581
1,27,false,279,10642453,21256,311657
1,28,false,279,10908751,21256,328323
1,29,false,279,10011560,21216,194150
1,30,false,279,10542603,21256,327288
1,31,false,279,11359667,21216,434906
1,32,false,279,10444356,21256,346633
1,33,false,279,10845553,21256,297589
1,34,false,279,10184635,21216,235859
1,35,false,279,11632802,21256,374664
1,36,false,279,10793808,21216,277474
1,37,false,279,10633514,21256,213253
1,38,false,279,11418400,21256,242783
1,39,false,279,11430198,21216,298677
1,40,false,279,10301118,21256,208007
1,41,false,279,10987409,21216,410738
1,42,false,279,10582539,21256,471444
1,43,false,279,10181606,21256,328807
1,44,false,279,10590454,21216,209696
1,45,false,279,10198619,21256,229664
1,46,false,279,9535421,21216,171839
1,47,false,279,10364284,21256,281610
128,0,true,10348,11788114,301016,1231052
128,1,true,10348,11878698,300840,1381255
128,2,true,10348,13904598,296680,1768870
128,3,true,10348,12348961,296640,836198
128,4,true,10348,11365620,296680,1145755
128,5,true,10348,12652533,296640,1136056
128,6,true,10348,12904436,296680,890361
128,7,true,10348,13027663,296680,1004143
128,8,false,10348,12173496,296640,707924
128,9,false,10349,15730277,296816,836192
128,10,false,10350,15512605,296776,873959
128,11,false,10350,14527737,296680,927390
128,12,false,10350,16519952,296824,1394483
128,13,false,10350,12823718,296640,749396
128,14,false,10350,13934924,296680,742598
128,15,false,10350,13523298,296640,1649869
128,16,false,10350,12835556,296680,962613
128,17,false,10350,15070084,296680,936161
128,18,false,10350,12323117,296640,629202
128,19,false,10350,11809057,296680,454829
128,20,false,10350,11835039,296640,616082
128,21,false,10350,11860678,296680,496522
128,22,false,10350,11817422,296680,197596
128,23,false,10350,13446487,296640,177024
128,24,false,10350,12150817,296952,217598
128,25,false,10350,12221421,296640,419732
128,26,false,10350,11503403,296680,233336
128,27,false,10350,11921624,296680,161085
128,28,false,10350,11755008,296640,485491
128,29,false,10350,11142548,296680,226791
128,30,false,10350,12037807,296640,386799
128,31,false,10350,12188030,296680,159037
128,32,false,10350,13910963,296680,152968
128,33,false,10350,13631151,296640,260589
128,34,false,10350,14081220,296680,417146
128,35,false,10350,11065600,296640,213629
128,36,false,10350,11570397,296680,163491
128,37,false,10350,11505555,296680,145906
128,38,false,10350,11764339,296640,149263
128,39,false,10350,11220034,296680,240038
128,40,false,10350,13284072,296640,243089
128,41,false,10350,13180155,296680,199348
128,42,false,10350,10652105,296680,157823
128,43,false,10350,14905875,296640,166161
128,44,false,10350,11366805,296680,165064
128,45,false,10350,13656970,296640,598191
128,46,false,10350,15926890,296680,559041
128,47,false,10350,15387325,296680,859529
4096,0,true,337948,29247347,9026112,12101771
4096,1,true,337948,16548472,9025896,3859666
4096,2,true,337948,17263458,9025792,8696680
4096,3,true,337948,28296577,9025768,12347859
4096,4,true,337948,28815477,9025696,12821781
4096,5,true,337948,30459594,9025736,13019366
4096,6,true,337948,30066028,9025736,1934503
4096,7,true,337948,16813653,9025696,1858442
4096,8,false,337948,17627088,9025736,1790339
4096,9,false,337949,17169198,9025832,1780364
4096,10,false,337950,15818604,9025872,1661406
