cells,index,warmup,record_bytes,create_decide_ns,allocated_bytes,replay_ns
1,0,true,277,31550874,132552,825924
1,1,true,277,16669156,17544,560803
1,2,true,277,16867496,17584,667309
1,3,true,277,12667342,17584,646262
1,4,true,277,14326867,17544,1014466
1,5,true,277,12700350,17584,549881
1,6,true,277,13877389,17544,1450669
1,7,true,277,13789982,18480,651164
1,8,false,277,13791765,17584,484497
1,9,false,278,14186862,17680,592271
1,10,false,279,15147731,17720,513042
1,11,false,279,15265836,17544,780812
1,12,false,279,14712883,17728,381536
1,13,false,279,16673941,17584,377389
1,14,false,279,15560678,17544,1102125
1,15,false,279,15287357,17584,353499
1,16,false,279,14165335,17544,398020
1,17,false,279,15280757,17584,605567
1,18,false,279,15521433,17584,634650
1,19,false,279,15774239,17544,490112
1,20,false,279,19733378,17584,421394
1,21,false,279,13348233,17544,229412
1,22,false,279,30892525,17584,559906
1,23,false,279,17802380,17584,362542
1,24,false,279,13866825,17816,458897
1,25,false,279,14096628,17584,393619
1,26,false,279,13194187,17544,373442
1,27,false,279,14209191,17584,307152
1,28,false,279,14603486,17584,354279
1,29,false,279,12778113,17544,189787
1,30,false,279,13477806,17584,169463
1,31,false,279,14312648,17544,504432
1,32,false,279,15207627,17584,232482
1,33,false,279,15317986,17584,202408
1,34,false,279,13395740,17544,210343
1,35,false,279,16870767,17584,597811
1,36,false,279,99331176,17544,357160
1,37,false,279,16176359,17584,323139
1,38,false,279,15371539,17584,388448
1,39,false,279,14984686,17544,222605
1,40,false,279,14763578,17584,208718
1,41,false,279,14996208,17544,701056
1,42,false,279,16693337,17584,693501
1,43,false,279,16240887,17584,373686
1,44,false,279,14943583,17544,339200
1,45,false,279,15308330,17584,292685
1,46,false,279,15476722,17544,286438
1,47,false,279,16463730,17584,246675
128,0,true,10348,16060798,117464,685164
128,1,true,10348,15193181,117288,880259
128,2,true,10348,15264717,117288,875173
128,3,true,10348,18985934,117248,503840
128,4,true,10348,15814514,117288,783176
128,5,true,10348,17263753,117248,737283
128,6,true,10348,15808066,117288,384945
128,7,true,10348,15980241,117288,501962
128,8,false,10348,16122773,117248,396701
128,9,false,10349,26201532,117424,747403
128,10,false,10350,15262827,117384,429066
128,11,false,10350,19033810,117288,369992
128,12,false,10350,14899727,117432,523130
128,13,false,10350,15016269,117248,361761
128,14,false,10350,15684327,117288,350185
128,15,false,10350,14848368,117248,921129
128,16,false,10350,15238346,117288,307679
128,17,false,10350,15175125,117288,552234
128,18,false,10350,14849169,117248,298911
128,19,false,10350,15686902,117288,290047
128,20,false,10350,14207829,117248,244871
128,21,false,10350,14810727,117288,574764
128,22,false,10350,14707977,117288,237506
128,23,false,10350,15750523,117248,381157
128,24,false,10350,16895196,117560,421700
128,25,false,10350,14745522,117248,428158
128,26,false,10350,14033312,117288,294658
128,27,false,10350,13455129,117288,430627
128,28,false,10350,14438134,117248,555622
128,29,false,10350,16430785,117288,257661
128,30,false,10350,13562575,117248,404362
128,31,false,10350,14071761,117288,283820
128,32,false,10350,13928257,117288,354976
128,33,false,10350,14333784,117248,285351
128,34,false,10350,12996686,117288,552223
128,35,false,10350,13883414,117248,329175
128,36,false,10350,14867831,117288,222531
128,37,false,10350,13432083,117288,258061
128,38,false,10350,14939296,117248,242318
128,39,false,10350,14951668,117288,241368
128,40,false,10350,16381352,117248,303206
128,41,false,10350,14540509,117288,263180
128,42,false,10350,15374674,117288,296083
128,43,false,10350,15552178,117248,212380
128,44,false,10350,13758319,117288,228135
128,45,false,10350,13524559,117248,404278
128,46,false,10350,12613703,117288,220621
128,47,false,10350,12693355,117288,209900
4096,0,true,337948,19331212,3355072,1460584
4096,1,true,337948,22050426,3354856,1839662
4096,2,true,337948,18402348,3354816,3224764
4096,3,true,337948,24862407,3354728,3549665
4096,4,true,337948,21718844,3354656,3110502
4096,5,true,337948,24382574,3354696,1560780
4096,6,true,337948,19548235,3354696,1301969
4096,7,true,337948,21622564,3354656,1496748
4096,8,false,337948,21304659,3354696,2076176
