cells,index,warmup,record_bytes,create_decide_ns,allocated_bytes,replay_ns
1,0,true,277,12588200,140680,1053500
1,1,true,277,9608400,25744,948100
1,2,true,277,10678700,40600,1029700
1,3,true,277,8940300,25744,993500
1,4,true,277,8803100,25744,803800
1,5,true,277,9369300,25744,1155300
1,6,true,277,9495800,25744,1174600
1,7,true,277,9944600,26920,935100
1,8,false,277,9388200,25744,953700
1,9,false,278,9238800,25880,1076200
1,10,false,279,8799700,25880,880300
1,11,false,279,9085300,25744,1039700
1,12,false,279,8896200,25888,743900
1,13,false,279,8786900,25744,867700
1,14,false,279,9005500,25744,788600
1,15,false,279,8730700,25744,797100
1,16,false,279,10929200,25744,813700
1,17,false,279,8389400,25744,860600
1,18,false,279,8395000,25744,930900
1,19,false,279,8567500,25744,845100
1,20,false,279,8333800,25744,791600
1,21,false,279,8251400,25744,855700
1,22,false,279,8705300,25744,807100
1,23,false,279,8694300,26584,743500
1,24,false,279,8210700,26016,735300
1,25,false,279,8871300,25744,725200
1,26,false,279,8059300,25744,849500
1,27,false,279,8433100,25744,649800
1,28,false,279,8615100,25744,754700
1,29,false,279,8200600,25744,811400
1,30,false,279,8690800,25744,653100
1,31,false,279,9119600,25744,812800
1,32,false,279,8042200,25744,726100
1,33,false,279,8324200,25744,762200
1,34,false,279,8289300,25744,679300
1,35,false,279,8943700,25744,1057900
1,36,false,279,9055500,25744,633100
1,37,false,279,8341900,25744,648700
1,38,false,279,8340700,25744,676600
1,39,false,279,10960700,25744,649000
1,40,false,279,7769000,25744,678800
1,41,false,279,8241400,25744,641800
1,42,false,279,8391300,25744,699700
1,43,false,279,7634600,25744,664100
1,44,false,279,8299700,25744,764900
1,45,false,279,7840700,25744,703000
1,46,false,279,8020400,25744,727100
1,47,false,279,7802900,25744,577300
128,0,true,10348,7260900,305552,1122700
128,1,true,10348,7466500,305336,1134600
128,2,true,10348,7320100,305336,1166000
128,3,true,10348,7661200,305336,1105800
128,4,true,10348,7800000,301304,990600
128,5,true,10348,7341600,301176,1098500
128,6,true,10348,7828700,301176,984600
128,7,true,10348,7070800,301176,995200
128,8,false,10348,6996800,301176,928400
128,9,false,10349,7428100,301312,919600
128,10,false,10350,7397500,301312,983200
128,11,false,10350,7573700,301176,973200
128,12,false,10350,6825700,301320,900300
128,13,false,10350,7011100,301176,921500
128,14,false,10350,7492600,301176,970300
128,15,false,10350,7468900,301176,1249800
128,16,false,10350,7750000,301176,830600
128,17,false,10350,7479500,301176,4686500
128,18,false,10350,7663300,301176,809000
128,19,false,10350,7816700,301176,889900
128,20,false,10350,7623500,301176,1221200
128,21,false,10350,8187400,301176,686600
128,22,false,10350,7250000,301176,811800
128,23,false,10350,7329300,301176,831000
128,24,false,10350,9599800,301448,828000
128,25,false,10350,7187100,301176,762800
128,26,false,10350,7297600,301176,724200
128,27,false,10350,7082500,301176,830700
128,28,false,10350,6798900,301176,808500
128,29,false,10350,6884600,301176,768300
128,30,false,10350,7090300,301176,830700
128,31,false,10350,7336900,301176,784000
128,32,false,10350,6724500,301176,758300
128,33,false,10350,6752800,301176,720700
128,34,false,10350,7621300,301176,767600
128,35,false,10350,7372300,301176,842100
128,36,false,10350,7144400,301176,785600
128,37,false,10350,7078100,301176,651300
128,38,false,10350,6953500,301176,720300
128,39,false,10350,6435700,301176,844400
128,40,false,10350,6564200,301176,686100
128,41,false,10350,6450400,301176,887000
128,42,false,10350,6719000,301176,676900
128,43,false,10350,6470300,301176,575100
128,44,false,10350,6441300,301176,752300
128,45,false,10350,6716500,301176,747900
128,46,false,10350,5962300,301176,567600
128,47,false,10350,6272800,301176,686900
4096,0,true,337948,14964500,9030656,2632100
4096,1,true,337948,12110100,9030440,2736100
4096,2,true,337948,13967600,9030440,3725900
4096,3,true,337948,13070500,9030440,3663000
4096,4,true,337948,12258400,9030312,3905400
4096,5,true,337948,14482400,9030280,3289400
4096,6,true,337948,12205100,9030280,3458700
4096,7,true,337948,12130000,9030280,3548200
4096,8,false,337948,11639100,9030280,3435900
4096,9,false,337949,11856000,9030416,4131500
4096,10,false,337950,11751700,9030416,3406600
4096,11,false,337950,11409000,9030280,3464600
4096,12,false,337950,10170800,9030424,2810000
4096,13,false,337950,10874900,9030280,2915700
4096,14,false,337950,10501500,9030280,2720000
4096,15,false,337950,10625500,9030280,2665800
4096,16,false,337950,10428900,9030280,2650400
4096,17,false,337950,10736000,9030280,2460900
4096,18,false,337950,12922300,9030280,2407200
