cells,index,warmup,record_bytes,create_decide_ns,allocated_bytes,replay_ns
1,0,true,277,14519200,137168,1016200
1,1,true,277,12568500,22232,1115100
1,2,true,277,13995600,37088,932100
1,3,true,277,10370100,22232,880200
1,4,true,277,10674500,22232,963400
1,5,true,277,10169900,22232,918400
1,6,true,277,9950800,22232,801600
1,7,true,277,11986100,23408,929400
1,8,false,277,11793200,22232,1125800
1,9,false,278,11521600,22368,975200
1,10,false,279,11486800,22368,760600
1,11,false,279,11042700,22232,825900
1,12,false,279,10862800,22376,794400
1,13,false,279,10497000,22232,717800
1,14,false,279,11219500,22232,752600
1,15,false,279,11782000,22232,765300
1,16,false,279,10789600,22232,996200
1,17,false,279,11650100,22232,971800
1,18,false,279,19790900,22232,1000400
1,19,false,279,10169500,22232,907900
1,20,false,279,10401400,22232,862800
1,21,false,279,10637300,22232,830200
1,22,false,279,10352700,22232,730800
1,23,false,279,10803400,23072,846300
1,24,false,279,11103200,22504,865900
1,25,false,279,10978600,22296,1010100
1,26,false,279,11318500,22232,853500
1,27,false,279,11040600,22232,811200
1,28,false,279,11041400,22232,838800
1,29,false,279,10536700,22232,837200
1,30,false,279,10468900,22232,803900
1,31,false,279,11483900,22232,775300
1,32,false,279,11413300,22232,659600
1,33,false,279,10855200,22232,665400
1,34,false,279,11386500,22232,887200
1,35,false,279,12433600,22232,859400
1,36,false,279,12729100,22232,813800
1,37,false,279,11528100,22232,977500
1,38,false,279,10011100,22232,664600
1,39,false,279,10703600,22232,878700
1,40,false,279,10290800,22232,844800
1,41,false,279,10398700,22232,689800
1,42,false,279,10822000,22232,735000
1,43,false,279,9722400,22232,681500
1,44,false,279,10323100,22232,606200
1,45,false,279,10009200,22232,653100
1,46,false,279,10186300,22232,755500
1,47,false,279,10962900,22232,709500
128,0,true,10348,9904800,122200,1322000
128,1,true,10348,11101900,121984,1079600
128,2,true,10348,10080900,121984,1043700
128,3,true,10348,9299100,121984,1290700
128,4,true,10348,9614200,121984,1096500
128,5,true,10348,9484600,121984,1448500
128,6,true,10348,10575700,121984,1248200
128,7,true,10348,9507900,121984,1249100
128,8,false,10348,8974900,121984,904100
128,9,false,10349,8481600,122120,886400
128,10,false,10350,9064000,122120,855300
128,11,false,10350,9372100,121984,803700
128,12,false,10350,8769900,122128,866200
128,13,false,10350,8251500,121984,756800
128,14,false,10350,20166800,121984,1077100
128,15,false,10350,8368000,121984,986700
128,16,false,10350,9374400,121984,753900
128,17,false,10350,7612200,121984,729800
128,18,false,10350,7770900,121984,687500
128,19,false,10350,7502700,121984,728900
128,20,false,10350,8744700,121984,837900
128,21,false,10350,8697100,121984,834500
128,22,false,10350,8350700,121984,838800
128,23,false,10350,9173200,121984,840300
128,24,false,10350,8293300,122256,754500
128,25,false,10350,9225400,121984,1192500
128,26,false,10350,10105800,121984,926100
128,27,false,10350,8294400,121984,833600
128,28,false,10350,8259700,121984,769900
128,29,false,10350,8371000,121984,951300
128,30,false,10350,7935500,121984,774100
128,31,false,10350,8642000,121984,711500
128,32,false,10350,8289500,121984,738200
128,33,false,10350,8185100,121984,723900
128,34,false,10350,8647600,121984,847500
128,35,false,10350,8141200,121984,692200
128,36,false,10350,7793300,122352,742400
128,37,false,10350,8031700,121984,661800
128,38,false,10350,7989400,121984,765300
128,39,false,10350,7811500,121984,698900
128,40,false,10350,7135000,121984,880000
128,41,false,10350,8744000,121984,692400
128,42,false,10350,8131200,121984,811800
128,43,false,10350,8834800,121984,624900
128,44,false,10350,7620000,121984,601700
128,45,false,10350,7114500,121984,614800
128,46,false,10350,7910600,121984,581500
128,47,false,10350,7174400,121984,645000
4096,0,true,337948,12037200,3359776,2122200
4096,1,true,337948,11882600,3359560,1951600
4096,2,true,337948,11234700,3359560,2084600
4096,3,true,337948,11583200,3359560,2361100
4096,4,true,337948,11503300,3359496,2593900
4096,5,true,337948,10515100,3359432,1987100
4096,6,true,337948,10806100,3359400,1773300
4096,7,true,337948,10597400,3359400,1691600
4096,8,false,337948,10916400,3359400,2059000
4096,9,false,337949,11245400,3359536,2097400
4096,10,false,337950,10815200,3359536,2034700
4096,11,false,337950,11509600,3359400,2278200
4096,12,false,337950,10404400,3359544,2198100
4096,13,false,337950,11202600,3359400,2179800
4096,14,false,337950,10875900,3359400,2125500
4096,15,false,337950,10144500,3359400,2273600
4096,16,false,337950,12522300,3359400,2755300
4096,17,false,337950,11652600,3359400,2360900
4096,18,false,337950,14293600,3359400,2652300
4096,19,false,337950,11086000,3359400,2341600
4096,20,false,337950,10694400,3359400,2011400
4096,21,false,337950,12174900,3359400,2458900
4096,22,false,337950,11368300,3359400,2055000
4096,23,false,337950,11559300,3359400,2007400
4096,24,false,337950,10948200,3359672,2692000
4096,25,false,337950,12415500,3359400,2088900
4096,26,false,337950,11590100,3359400,1978100
4096,27,false,337950,11645600,3359400,2644900
4096,28,false,337950,12448900,3359400,1960900
4096,29,false,337950,11546300,3359400,2115400
4096,30,false,337950,13250400,3369104,2422900
4096,31,false,337950,13895700,3359528,2970500
4096,32,false,337950,17812700,3359856,2050700
4096,33,false,337950,16022500,3359528,2148300
4096,34,false,337950,11748400,3359528,2148700
4096,35,false,337950,12464400,3359528,2655900
4096,36,false,337950,11140000,3359528,2349100
4096,37,false,337950,10673000,3359528,2421400
4096,38,false,337950,11137400,3359528,2321400
4096,39,false,337950,10064300,3359528,2041100
4096,40,false,337950,12198700,3359528,2066200
4096,41,false,337950,10351400,3359528,1642800
4096,42,false,337950,10501600,3359528,1601300
4096,43,false,337950,11623000,3359528,1767600
4096,44,false,337950,11104700,3359528,1818500
4096,45,false,337950,13234900,3359528,1792600
4096,46,false,337950,10214800,3359528,1793300
