scene,stage,observed,retained,p50Ns,p95Ns,maxNs
A49,REPLY_COPY,80,80,2966,5060,20429
A49,FRAME_ENCODE,80,80,9888,18485,66096
A49,ANALYSIS_QUEUE,40,40,100022,118014,165605
A49,NATIVE_CALL,80,80,184652,248273,287429
A49,GATHER_STEP,40,40,132373,213567,266949
A49,PACKET_BUILD,40,40,210321,289031,292438
A49,ANALYSIS_WORKER,40,40,1333260,1519536,1714547
A49,GATHER_FINISH,40,40,66507,113129,129552
A49,WORLD_MAP,40,40,53622,95486,157820
A49,WORLD_ENCODE,40,40,14789,94500,384343
A49,RESULT_DECODE,40,40,526062,658415,767057
A49,MANAGER_TICK,52,52,298148,406746,434318
A49,FRAME_DECODE,80,80,77873,165826,228265
A49,GATHER_PREPARE,40,40,16982,19347,24657
A49,APPLY,40,40,244506,322495,323105
A49,NETWORK_DISPATCH,80,80,11181,13256,36810
F576,REPLY_COPY,80,80,5220,17193,21751
F576,FRAME_ENCODE,80,80,9168,17433,118296
F576,ANALYSIS_QUEUE,40,40,102956,175084,188519
F576,NATIVE_CALL,80,80,784002,3182995,3418575
F576,GATHER_STEP,40,40,415060,492147,499531
F576,PACKET_BUILD,40,40,319198,437913,447772
F576,ANALYSIS_WORKER,40,40,4617374,5492676,5945562
F576,GATHER_FINISH,40,40,194630,293459,315500
F576,WORLD_MAP,40,40,102185,252390,406414
F576,WORLD_ENCODE,40,40,37912,68471,200061
F576,RESULT_DECODE,40,40,496855,981087,1076178
F576,MANAGER_TICK,70,70,662491,910222,981307
F576,FRAME_DECODE,80,80,78429,196524,331571
F576,GATHER_PREPARE,40,40,50626,62258,145877
F576,APPLY,40,40,361337,477508,485744
F576,NETWORK_DISPATCH,80,80,12113,15179,21682
M832,REPLY_COPY,80,80,6873,46157,171536
M832,FRAME_ENCODE,80,80,4188,8687,19678
M832,ANALYSIS_QUEUE,40,40,123318,284738,8518807
M832,NATIVE_CALL,80,80,2438591,48566069,81202584
M832,GATHER_STEP,40,40,754305,2789581,5504378
M832,PACKET_BUILD,40,40,1103464,1542788,3309624
M832,ANALYSIS_WORKER,40,40,24484045,65627230,84227438
M832,GATHER_FINISH,40,40,368065,660583,1348187
M832,WORLD_MAP,40,40,149563,228973,273351
M832,WORLD_ENCODE,40,40,58330,120748,193448
M832,RESULT_DECODE,40,40,1110378,5838143,10784857
M832,MANAGER_TICK,113,113,23034,2124624,7090147
M832,FRAME_DECODE,80,80,93897,397411,749967
M832,GATHER_PREPARE,40,40,55616,82717,91894
M832,APPLY,40,40,1186541,1611208,3399795
M832,NETWORK_DISPATCH,80,80,18656,23414,33553
