platform,fixture,pattern,stage,samples,p50_ms,p95_ms,max_ms,allocation_p95,compressed_min,compressed_max
windows,D4096,READY,tag_encode,60,1.1379,1.539,1.621,350928,26317,26331
windows,D4096,READY,file_save,60,8.5108,9.4196,9.6392,366992,26317,26331
windows,D4096,READY,reopen,60,4.4478,6.7702,9.4048,2804728,26317,26331
windows,D4096,PENDING64,tag_encode,60,1.0301,1.297,1.5457,434776,26339,26350
windows,D4096,PENDING64,file_save,60,7.8795,8.6303,9.5313,368280,26339,26350
windows,D4096,PENDING64,reopen,60,3.6807,4.1595,4.7443,2813864,26339,26350
windows,D32768,READY,tag_encode,60,8.5721,12.8919,13.3637,2675376,195443,195463
windows,D32768,READY,file_save,60,50.3361,65.722,67.8692,2691520,195443,195463
windows,D32768,READY,reopen,60,33.7666,49.9364,57.6977,22546528,195443,195463
windows,D32768,PENDING64,tag_encode,60,10.9476,15.2012,16.9762,3332664,195478,195493
windows,D32768,PENDING64,file_save,60,51.8436,67.9631,69.2932,2692744,195478,195493
windows,D32768,PENDING64,reopen,60,34.4166,49.1336,51.565,22555496,195478,195493
windows,D131072,READY,tag_encode,60,44.6323,62.5067,90.7894,10623872,840643,840660
windows,D131072,READY,file_save,60,224.1497,260.1542,280.4313,10640016,840643,840660
windows,D131072,READY,reopen,60,161.6173,217.0219,243.8309,90763952,840643,840660
windows,D131072,PENDING64,tag_encode,60,44.5979,60.8534,63.2933,13247240,840679,840689
windows,D131072,PENDING64,file_save,60,217.3371,251.1185,286.424,10641368,840679,840689
windows,D131072,PENDING64,reopen,60,145.6192,189.0831,231.0154,90773112,840679,840689
linux,D4096,READY,tag_encode,60,0.881996,1.52038,1.617118,350872,26317,26331
linux,D4096,READY,file_save,60,8.05781,10.320933,14.397103,364416,26317,26331
linux,D4096,READY,reopen,60,4.098034,5.773106,10.671095,2804432,26317,26331
linux,D4096,PENDING64,tag_encode,60,0.970704,1.536011,1.805391,435096,26339,26350
linux,D4096,PENDING64,file_save,60,7.797256,8.634554,10.702217,365888,26339,26350
linux,D4096,PENDING64,reopen,60,3.422379,6.363397,7.032395,2814080,26339,26350
linux,D32768,READY,tag_encode,60,10.184549,11.45369,11.71264,2675520,195443,195463
linux,D32768,READY,file_save,60,45.86523,48.11022,50.1097,2689136,195443,195463
linux,D32768,READY,reopen,60,52.123132,55.893762,60.257853,22546552,195443,195463
linux,D32768,PENDING64,tag_encode,60,9.250864,10.867602,19.547018,3332984,195478,195493
linux,D32768,PENDING64,file_save,60,43.066532,46.145686,49.935075,2690320,195478,195493
linux,D32768,PENDING64,reopen,60,30.196749,32.958819,39.656314,22555712,195478,195493
linux,D131072,READY,tag_encode,60,43.474856,59.929412,91.610674,10624016,840643,840660
linux,D131072,READY,file_save,60,191.868104,201.673856,223.784914,10637648,840643,840660
linux,D131072,READY,reopen,60,143.668264,182.879265,195.880314,90764272,840643,840660
linux,D131072,PENDING64,tag_encode,60,42.281792,52.038211,90.897269,13247560,840679,840689
linux,D131072,PENDING64,file_save,60,187.215874,196.999733,216.849044,10638816,840679,840689
linux,D131072,PENDING64,reopen,60,138.229065,181.357218,211.804531,90773344,840679,840689
