fixture,pattern,stage,samples_each,baseline_p50_ms,baseline_p95_ms,baseline_max_ms,candidate_p50_ms,candidate_p95_ms,candidate_max_ms,budget_ms,timing_pass,baseline_allocation_p95,candidate_allocation_p95
D4096,ONE,edit,60,0.009561,0.01231,0.02871,0.010334,0.040695,0.162523,1.01231,True,72,72
D4096,ONE,capture,60,0.412131,0.897468,1.147153,0.365129,0.91114,1.076259,1.897468,True,114976,164208
D4096,ONE,reconcile,60,7.338363,11.73337,15.293787,6.200491,8.725876,46.77337,14.6667125,True,2187056,2072392
D4096,ONE,publish,60,0.004649,0.006569,0.008874,0.004637,0.007379,0.013249,1.006569,True,0,0
D4096,ONE,coverage_snapshot,60,0.000659,0.001091,0.001279,0.000703,0.000938,0.00107,1.001091,True,0,0
D4096,ONE,coverage_encode,60,0.567226,0.854041,1.272689,0.044801,0.114713,0.127482,1.854041,True,49776,49216
D4096,ONE,objects_encode,60,1.609576,2.80351,4.351477,1.432487,2.404467,8.633005,3.80351,True,1074352,301400
D4096,ONE,objects_decode,60,2.867989,4.979947,5.838789,2.99228,5.074661,9.637468,6.22493375,True,1859248,1744592
D4096,ONE,TOTAL_ALLOCATED,60,,,,,,,,,5285528,4331872
D4096,BURST64,edit,60,0.070438,0.124096,0.270475,0.070381,0.173527,0.222408,1.124096,True,20504,20504
D4096,BURST64,capture,60,0.351602,0.516229,0.764958,0.110271,0.352369,0.506422,1.516229,True,118360,166744
D4096,BURST64,reconcile,60,6.887089,10.333496,11.905704,4.48661,7.814812,12.218704,12.91687,True,2187024,2072392
D4096,BURST64,publish,60,0.006154,0.018099,0.146614,0.005696,0.009824,0.16082,1.018099,True,0,0
D4096,BURST64,coverage_snapshot,60,0.187016,0.363167,0.58329,0.223443,0.331241,0.375948,1.363167,True,32856,32856
D4096,BURST64,coverage_encode,60,0.087817,0.226446,0.281989,0.334824,0.622157,0.666487,1.226446,True,49776,98992
D4096,BURST64,objects_encode,60,1.008524,2.069228,2.914803,0.778512,1.233938,1.498312,3.069228,True,1074288,300872
D4096,BURST64,objects_decode,60,1.511897,3.254696,7.393292,0.982367,3.502056,6.55083,4.254696,True,1859136,1744544
