fixture,pattern,stage,samples_each,baseline_p50_ms,baseline_p95_ms,baseline_max_ms,candidate_p50_ms,candidate_p95_ms,candidate_max_ms,budget_ms,timing_pass,baseline_allocation_p95,candidate_allocation_p95
D4096,ONE,edit,60,0.009561,0.01231,0.02871,0.011134,0.026752,0.050928,1.01231,True,72,72
D4096,ONE,capture,60,0.412131,0.897468,1.147153,0.359319,1.060248,1.556864,1.897468,True,114976,164208
D4096,ONE,reconcile,60,7.338363,11.73337,15.293787,6.164479,9.017076,9.89894,14.6667125,True,2187056,2072392
D4096,ONE,publish,60,0.004649,0.006569,0.008874,0.004523,0.006668,0.009006,1.006569,True,0,0
D4096,ONE,coverage_snapshot,60,0.000659,0.001091,0.001279,0.000698,0.001118,0.002577,1.001091,True,0,0
D4096,ONE,coverage_encode,60,0.567226,0.854041,1.272689,0.649373,0.907677,1.327998,1.854041,True,49776,49776
D4096,ONE,objects_encode,60,1.609576,2.80351,4.351477,2.084487,4.427358,11.000344,3.80351,False,1074352,1074352
D4096,ONE,objects_decode,60,2.867989,4.979947,5.838789,2.628452,4.456424,5.841722,6.22493375,True,1859248,1744584
D4096,ONE,TOTAL_ALLOCATED,60,,,,,,,,,5285528,5105376
D4096,BURST64,edit,60,0.070438,0.124096,0.270475,0.065813,0.16847,0.302504,1.124096,True,20504,20504
D4096,BURST64,capture,60,0.351602,0.516229,0.764958,0.087953,0.407429,0.47827,1.516229,True,118360,166744
D4096,BURST64,reconcile,60,6.887089,10.333496,11.905704,4.619635,7.294333,9.109676,12.91687,True,2187024,2072392
D4096,BURST64,publish,60,0.006154,0.018099,0.146614,0.005203,0.008557,0.191602,1.018099,True,0,0
D4096,BURST64,coverage_snapshot,60,0.187016,0.363167,0.58329,0.175543,0.340365,0.388337,1.363167,True,32856,32856
D4096,BURST64,coverage_encode,60,0.087817,0.226446,0.281989,0.079816,0.160265,0.225525,1.226446,True,49776,49776
D4096,BURST64,objects_encode,60,1.008524,2.069228,2.914803,0.997752,2.035821,2.375108,3.069228,True,1074288,1074288
D4096,BURST64,objects_decode,60,1.511897,3.254696,7.393292,0.996003,2.79548,3.624161,4.254696,True,1859136,1744544
D4096,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,5341944,5161032
D32768,ONE,edit,60,0.010116,0.012434,0.022363,0.011392,0.023532,0.08036,1.012434,True,72,72
D32768,ONE,capture,60,5.529045,7.194698,8.048997,2.973419,3.521607,35.106391,8.9933725,True,917792,1311048
D32768,ONE,reconcile,60,85.641745,106.629163,115.229976,62.114346,67.60606,70.27447,133.28645375,True,16846480,16977608
D32768,ONE,publish,60,0.00927,0.048851,0.275495,0.007403,0.009318,0.124566,1.048851,True,0,0
D32768,ONE,coverage_snapshot,60,0.000808,0.001102,0.00147,0.000837,0.001123,0.001355,1.001102,True,0,0
D32768,ONE,coverage_encode,60,0.707214,1.980956,2.109165,1.940055,2.28908,2.403792,2.980956,True,394112,394112
D32768,ONE,objects_encode,60,9.466192,16.669565,17.105332,16.218825,18.438473,20.859806,20.83695625,True,8474000,8474000
D32768,ONE,objects_decode,60,18.724741,32.18603,42.324589,20.24446,21.830365,26.075411,40.2325375,True,15023136,14105728
D32768,ONE,TOTAL_ALLOCATED,60,,,,,,,,,41655592,41262520
D32768,BURST64,edit,60,0.086421,0.160388,0.195098,0.088681,0.124152,0.206271,1.160388,True,21624,21624
D32768,BURST64,capture,60,5.757011,6.796412,7.219791,1.203023,3.270424,12.090812,8.495515,True,921176,1313624
D32768,BURST64,reconcile,60,89.795089,103.950642,121.900232,46.558536,66.397062,69.369892,129.9383025,True,16846480,16977608
D32768,BURST64,publish,60,0.010812,0.018589,0.100997,0.008879,0.014976,0.111194,1.018589,True,0,0
D32768,BURST64,coverage_snapshot,60,0.24506,1.314881,1.839867,0.226558,1.64619,1.68335,2.314881,True,262232,262232
D32768,BURST64,coverage_encode,60,0.511016,1.039887,1.268827,0.544462,1.769527,2.155294,2.039887,True,394112,394112
D32768,BURST64,objects_encode,60,9.209181,16.55381,16.624119,8.486317,17.567578,18.22014,20.6922625,True,8474000,8474000
D32768,BURST64,objects_decode,60,19.231997,30.649802,34.681017,7.04012,21.737231,22.563908,38.3122525,True,15023136,14105728
D32768,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,41942760,41548856
D131072,ONE,edit,60,0.011513,0.014806,0.074975,0.012925,0.014859,0.028953,1.014806,True,72,72
D131072,ONE,capture,60,666.684992,714.063463,726.212879,4.202389,5.284424,26.687441,178.51586575,True,3670304,5243208
D131072,ONE,reconcile,60,8896.910815,9521.883899,9760.919989,241.105186,267.524868,279.488813,2380.47097475,True,67113096,67637464
D131072,ONE,publish,60,0.014725,0.055431,0.128281,0.01177,0.015928,0.074133,1.055431,True,0,0
D131072,ONE,coverage_snapshot,60,0.001129,0.001434,0.001576,0.001009,0.001451,0.00155,1.001434,True,0,0
D131072,ONE,coverage_encode,60,2.074457,3.129652,26.094219,2.899765,3.498505,4.070908,4.129652,True,1573760,1573760
D131072,ONE,objects_encode,60,38.527014,64.327511,67.532116,41.381118,56.351078,72.991728,80.40938875,True,33822336,33822336
D131072,ONE,objects_decode,60,1359.549912,1462.944835,1486.738427,35.905987,67.869389,79.024405,1828.68104375,True,59726952,56057056
D131072,ONE,TOTAL_ALLOCATED,60,,,,,,,,,165906520,164333824
D131072,BURST64,edit,60,0.091942,0.140958,0.154429,0.090141,0.116047,0.154099,1.140958,True,28808,28808
