fixture,pattern,stage,samples_each,baseline_p50_ms,baseline_p95_ms,baseline_max_ms,candidate_p50_ms,candidate_p95_ms,candidate_max_ms,budget_ms,timing_pass,baseline_allocation_p95,candidate_allocation_p95
D4096,ONE,edit,60,0.009561,0.01231,0.02871,0.010568,0.026769,0.45943,1.01231,True,72,72
D4096,ONE,capture,60,0.412131,0.897468,1.147153,0.337668,0.85262,1.001485,1.897468,True,114976,164208
D4096,ONE,reconcile,60,7.338363,11.73337,15.293787,6.385577,7.770011,7.979797,14.6667125,True,2187056,2072392
D4096,ONE,publish,60,0.004649,0.006569,0.008874,0.004711,0.006108,0.016865,1.006569,True,0,0
D4096,ONE,coverage_snapshot,60,0.000659,0.001091,0.001279,0.000707,0.001091,0.001368,1.001091,True,0,0
D4096,ONE,coverage_encode,60,0.567226,0.854041,1.272689,0.05837,0.070868,0.076833,1.854041,True,49776,49216
D4096,ONE,objects_encode,60,1.609576,2.80351,4.351477,1.530472,2.222679,8.487711,3.80351,True,1074352,301400
D4096,ONE,objects_decode,60,2.867989,4.979947,5.838789,2.955805,4.201707,9.71689,6.22493375,True,1859248,1744584
D4096,ONE,TOTAL_ALLOCATED,60,,,,,,,,,5285528,4332080
D4096,BURST64,edit,60,0.070438,0.124096,0.270475,0.07045,0.131676,0.270767,1.124096,True,20504,20504
D4096,BURST64,capture,60,0.351602,0.516229,0.764958,0.092143,0.295471,0.839379,1.516229,True,118360,166744
D4096,BURST64,reconcile,60,6.887089,10.333496,11.905704,5.09672,7.837281,10.569629,12.91687,True,2187024,2072392
D4096,BURST64,publish,60,0.006154,0.018099,0.146614,0.005673,0.01036,0.247424,1.018099,True,0,0
D4096,BURST64,coverage_snapshot,60,0.187016,0.363167,0.58329,0.209773,0.422356,0.542468,1.363167,True,32856,32856
D4096,BURST64,coverage_encode,60,0.087817,0.226446,0.281989,0.305094,0.718568,0.862473,1.226446,True,49776,98992
D4096,BURST64,objects_encode,60,1.008524,2.069228,2.914803,0.812651,1.241833,1.356936,3.069228,True,1074288,300872
D4096,BURST64,objects_decode,60,1.511897,3.254696,7.393292,1.025059,2.990988,5.346256,4.254696,True,1859136,1744544
D4096,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,5341944,4436856
D32768,ONE,edit,60,0.010116,0.012434,0.022363,0.006218,0.0075,0.008831,1.012434,True,72,72
D32768,ONE,capture,60,5.529045,7.194698,8.048997,2.852793,3.159241,3.214274,8.9933725,True,917792,1311048
D32768,ONE,reconcile,60,85.641745,106.629163,115.229976,61.391191,66.20271,108.796794,133.28645375,True,16846480,16977608
D32768,ONE,publish,60,0.00927,0.048851,0.275495,0.00773,0.067584,0.108829,1.048851,True,0,0
D32768,ONE,coverage_snapshot,60,0.000808,0.001102,0.00147,0.000745,0.001011,0.001327,1.001102,True,0,0
D32768,ONE,coverage_encode,60,0.707214,1.980956,2.109165,0.319376,0.392249,0.530272,2.980956,True,394112,393280
D32768,ONE,objects_encode,60,9.466192,16.669565,17.105332,8.256631,9.479024,9.848447,20.83695625,True,8474000,2281952
D32768,ONE,objects_decode,60,18.724741,32.18603,42.324589,18.658958,22.571953,24.029142,40.2325375,True,15023136,14105680
