fixture,pattern,stage,samples_each,baseline_p50_ms,baseline_p95_ms,baseline_max_ms,candidate_p50_ms,candidate_p95_ms,candidate_max_ms,budget_ms,timing_pass,baseline_allocation_p95,candidate_allocation_p95
D4096,ONE,edit,60,0.009561,0.01231,0.02871,0.010881,0.030668,0.177971,1.01231,True,72,72
D4096,ONE,capture,60,0.412131,0.897468,1.147153,0.332296,0.876414,1.004098,1.897468,True,114976,164208
D4096,ONE,reconcile,60,7.338363,11.73337,15.293787,6.264758,7.885554,8.786719,14.6667125,True,2187056,2072392
D4096,ONE,publish,60,0.004649,0.006569,0.008874,0.004504,0.00815,0.010449,1.006569,True,0,0
D4096,ONE,coverage_snapshot,60,0.000659,0.001091,0.001279,0.00071,0.000975,0.001385,1.001091,True,0,0
D4096,ONE,coverage_encode,60,0.567226,0.854041,1.272689,0.652877,0.826354,0.980314,1.854041,True,49776,49776
D4096,ONE,objects_encode,60,1.609576,2.80351,4.351477,1.331073,2.112073,8.438978,3.80351,True,1074352,301400
D4096,ONE,objects_decode,60,2.867989,4.979947,5.838789,2.798758,4.468457,32.566081,6.22493375,True,1859248,1744584
D4096,ONE,TOTAL_ALLOCATED,60,,,,,,,,,5285528,4332360
D4096,BURST64,edit,60,0.070438,0.124096,0.270475,0.069379,0.167827,0.273274,1.124096,True,20504,20504
D4096,BURST64,capture,60,0.351602,0.516229,0.764958,0.106171,0.270045,0.315654,1.516229,True,118360,166744
D4096,BURST64,reconcile,60,6.887089,10.333496,11.905704,4.699088,7.31202,7.59686,12.91687,True,2187024,2072392
D4096,BURST64,publish,60,0.006154,0.018099,0.146614,0.005057,0.009413,0.265553,1.018099,True,0,0
D4096,BURST64,coverage_snapshot,60,0.187016,0.363167,0.58329,0.194476,0.31005,0.504883,1.363167,True,32856,32856
D4096,BURST64,coverage_encode,60,0.087817,0.226446,0.281989,0.083143,0.161071,3.936683,1.226446,True,49776,49776
D4096,BURST64,objects_encode,60,1.008524,2.069228,2.914803,0.669092,1.048305,1.237064,3.069228,True,1074288,300872
D4096,BURST64,objects_decode,60,1.511897,3.254696,7.393292,1.010422,2.772362,6.534756,4.254696,True,1859136,1744544
D4096,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,5341944,4387640
D32768,ONE,edit,60,0.010116,0.012434,0.022363,0.006198,0.008425,0.010034,1.012434,True,72,72
D32768,ONE,capture,60,5.529045,7.194698,8.048997,2.776857,3.110482,3.250961,8.9933725,True,917792,1311048
D32768,ONE,reconcile,60,85.641745,106.629163,115.229976,60.97259,66.594634,102.319862,133.28645375,True,16846480,16977608
D32768,ONE,publish,60,0.00927,0.048851,0.275495,0.007545,0.008893,0.128697,1.048851,True,0,0
D32768,ONE,coverage_snapshot,60,0.000808,0.001102,0.00147,0.000753,0.000975,0.023044,1.001102,True,0,0
D32768,ONE,coverage_encode,60,0.707214,1.980956,2.109165,1.945775,2.31654,2.533369,2.980956,True,394112,394112
D32768,ONE,objects_encode,60,9.466192,16.669565,17.105332,7.477912,9.07664,10.504137,20.83695625,True,8474000,2281952
D32768,ONE,objects_decode,60,18.724741,32.18603,42.324589,18.930362,21.521991,22.2398,40.2325375,True,15023136,14105728
D32768,ONE,TOTAL_ALLOCATED,60,,,,,,,,,41655592,35070448
D32768,BURST64,edit,60,0.086421,0.160388,0.195098,0.092146,0.165452,0.347097,1.160388,True,21624,21624
D32768,BURST64,capture,60,5.757011,6.796412,7.219791,1.252683,3.407898,3.526595,8.495515,True,921176,1313624
D32768,BURST64,reconcile,60,89.795089,103.950642,121.900232,50.263214,67.046379,68.664754,129.9383025,True,16846480,16977608
D32768,BURST64,publish,60,0.010812,0.018589,0.100997,0.008926,0.019721,0.091512,1.018589,True,0,0
D32768,BURST64,coverage_snapshot,60,0.24506,1.314881,1.839867,0.233452,1.676188,1.787791,2.314881,True,262232,262232
D32768,BURST64,coverage_encode,60,0.511016,1.039887,1.268827,0.504588,1.9449,2.188875,2.039887,True,394112,394112
D32768,BURST64,objects_encode,60,9.209181,16.55381,16.624119,5.267219,8.638105,9.139754,20.6922625,True,8474000,2281528
D32768,BURST64,objects_decode,60,19.231997,30.649802,34.681017,8.706437,21.252064,22.952807,38.3122525,True,15023136,14105728
D32768,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,41942760,35356384
D131072,ONE,edit,60,0.011513,0.014806,0.074975,0.007413,0.008342,0.009381,1.014806,True,72,72
D131072,ONE,capture,60,666.684992,714.063463,726.212879,4.440183,5.368494,5.549588,178.51586575,True,3670304,5243208
D131072,ONE,reconcile,60,8896.910815,9521.883899,9760.919989,239.196935,271.591653,307.812582,2380.47097475,True,67113096,67637464
D131072,ONE,publish,60,0.014725,0.055431,0.128281,0.011283,0.036996,0.086492,1.055431,True,0,0
D131072,ONE,coverage_snapshot,60,0.001129,0.001434,0.001576,0.000969,0.001395,0.00165,1.001434,True,0,0
D131072,ONE,coverage_encode,60,2.074457,3.129652,26.094219,2.895644,4.240746,4.788425,4.129652,False,1573760,1573760
D131072,ONE,objects_encode,60,38.527014,64.327511,67.532116,25.323189,35.885308,54.509339,80.40938875,True,33822336,9050800
D131072,ONE,objects_decode,60,1359.549912,1462.944835,1486.738427,37.266111,73.404085,83.135815,1828.68104375,True,59726952,56057008
D131072,ONE,TOTAL_ALLOCATED,60,,,,,,,,,165906520,139562288
D131072,BURST64,edit,60,0.091942,0.140958,0.154429,0.088883,0.11391,0.144688,1.140958,True,28808,28808
D131072,BURST64,capture,60,665.441379,718.956628,745.411437,2.417232,2.77425,3.046351,179.739157,True,3673688,5245784
D131072,BURST64,reconcile,60,9237.896423,11958.80756,12610.907076,237.978551,277.159954,301.926892,2989.70189,True,67113096,67637464
D131072,BURST64,publish,60,0.015574,0.019255,0.047652,0.01264,0.016358,0.025376,1.019255,True,0,0
D131072,BURST64,coverage_snapshot,60,0.883488,1.17318,2.060981,0.820693,0.901486,1.014634,2.17318,True,1048664,1048664
D131072,BURST64,coverage_encode,60,1.963189,2.560641,3.610809,1.874183,2.174843,2.299621,3.560641,True,1573760,1573760
D131072,BURST64,objects_encode,60,37.938946,43.989164,67.390446,22.547218,23.860332,25.27786,54.986455,True,33822336,9050376
D131072,BURST64,objects_decode,60,1366.303266,1445.283314,1537.814929,36.024403,84.457746,96.993454,1806.6041425,True,59726952,56057056
D131072,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,166987304,140641864
F131072,ONE,edit,60,0.009219,0.010625,0.034044,0.005499,0.006111,0.008809,1.010625,True,72,72
F131072,ONE,capture,60,596.872676,689.210703,741.610845,2.561057,5.905962,32.964551,861.51337875,True,3670304,5243208
F131072,ONE,reconcile,60,3479.930753,4412.209761,4714.163872,101.679987,166.542092,200.070394,5515.26220125,True,45563216,41857760
F131072,ONE,publish,60,0.015094,0.018096,0.064979,0.013564,0.024188,0.061648,1.018096,True,0,0
F131072,ONE,coverage_snapshot,60,0.001303,0.001808,0.002419,0.001202,0.001537,0.001599,1.001808,True,0,0
F131072,ONE,coverage_encode,60,1.92938,2.269339,2.644614,1.928016,3.777959,17.754456,3.269339,False,1573760,1573760
F131072,ONE,objects_encode,60,29.968526,33.941047,39.061408,20.731765,27.088544,34.736852,42.42630875,True,32417568,8381696
F131072,ONE,objects_decode,60,1450.393292,1773.333875,1833.019634,36.53077,81.521072,115.250175,2216.66734375,True,62456928,58783856
F131072,ONE,TOTAL_ALLOCATED,60,,,,,,,,,145681464,115840544
