platform,fixture,pattern,stage,samples_each,baseline_p95_ms,candidate_p50_ms,candidate_p95_ms,candidate_max_ms,budget_ms,baseline_allocation_p95,candidate_allocation_p95,baseline_compressed_min,baseline_compressed_max,candidate_compressed_min,candidate_compressed_max
windows,D4096,READY,tag_encode,60,1.539,1.159,1.557,1.7185,2.539,350928,351000,26317,26331,31282,31300
windows,D4096,READY,file_save,60,9.4196,4.6745,5.5305,10.532,11.7745,366992,399680,26317,26331,31282,31300
windows,D4096,READY,reopen,60,6.7702,4.9761,6.0225,6.8715,8.46275,2804728,2804712,26317,26331,31282,31300
windows,D4096,PENDING64,tag_encode,60,1.297,1.0423,1.2416,1.5497,2.297,434776,434744,26339,26350,31437,31445
windows,D4096,PENDING64,file_save,60,8.6303,3.9189,4.4344,5.1315,10.787875,368280,400936,26339,26350,31437,31445
windows,D4096,PENDING64,reopen,60,4.1595,3.745,4.191,4.6082,5.199375,2813864,2813880,26339,26350,31437,31445
windows,D32768,READY,tag_encode,60,12.8919,9.0095,13.0142,14.3931,16.114875,2675376,2675344,195443,195463,237909,237925
windows,D32768,READY,file_save,60,65.722,18.6296,25.5928,28.7074,82.1525,2691520,2724192,195443,195463,237909,237925
windows,D32768,READY,reopen,60,49.9364,36.3323,54.3172,56.4175,62.4205,22546528,22546368,195443,195463,237909,237925
windows,D32768,PENDING64,tag_encode,60,15.2012,11.1411,14.9539,15.4846,19.0015,3332664,3332632,195478,195493,238005,238039
windows,D32768,PENDING64,file_save,60,67.9631,19.0912,25.6709,26.838,84.953875,2692744,2725432,195478,195493,238005,238039
windows,D32768,PENDING64,reopen,60,49.1336,32.0434,46.5349,50.7666,61.417,22555496,22555512,195478,195493,238005,238039
windows,D131072,READY,tag_encode,60,62.5067,45.3623,64.7913,86.3123,78.133375,10623872,10623840,840643,840660,989424,989442
windows,D131072,READY,file_save,60,260.1542,78.3912,96.5267,115.3281,130.0771,10640016,10672688,840643,840660,989424,989442
windows,D131072,READY,reopen,60,217.0219,153.5113,209.2242,239.0421,271.277375,90763952,90763984,840643,840660,989424,989442
windows,D131072,PENDING64,tag_encode,60,60.8534,46.4396,60.0194,71.1899,76.06675,13247240,13247208,840679,840689,989535,989552
windows,D131072,PENDING64,file_save,60,251.1185,77.2599,98.1994,117.4049,125.55925,10641368,10674056,840679,840689,989535,989552
windows,D131072,PENDING64,reopen,60,189.0831,153.6386,200.3622,231.8358,236.353875,90773112,90773128,840679,840689,989535,989552
linux,D4096,READY,tag_encode,60,1.52038,0.88496,1.695331,8.067787,2.52038,350872,350872,26317,26331,31282,31300
linux,D4096,READY,file_save,60,10.320933,4.65298,5.515381,6.802997,12.90116625,364416,396960,26317,26331,31282,31300
linux,D4096,READY,reopen,60,5.773106,4.123715,5.923894,11.01265,7.2163825,2804432,2804680,26317,26331,31282,31300
linux,D4096,PENDING64,tag_encode,60,1.536011,0.964315,1.397488,1.726829,2.536011,435096,435096,26339,26350,31437,31445
linux,D4096,PENDING64,file_save,60,8.634554,4.358093,5.386052,6.441602,10.7931925,365888,398424,26339,26350,31437,31445
linux,D4096,PENDING64,reopen,60,6.363397,3.526319,7.023861,7.52789,7.95424625,2814080,2814080,26339,26350,31437,31445
linux,D32768,READY,tag_encode,60,11.45369,10.180743,11.42994,15.618357,14.3171125,2675520,2675520,195443,195463,237909,237925
linux,D32768,READY,file_save,60,48.11022,18.308527,19.971142,26.80554,60.137775,2689136,2721704,195443,195463,237909,237925
linux,D32768,READY,reopen,60,55.893762,52.817038,55.778853,56.950106,69.8672025,22546552,22546552,195443,195463,237909,237925
linux,D32768,PENDING64,tag_encode,60,10.867602,9.033561,9.742756,10.54177,13.5845025,3332984,3332984,195478,195493,238005,238039
linux,D32768,PENDING64,file_save,60,46.145686,15.692107,17.618193,18.388207,57.6821075,2690320,2722872,195478,195493,238005,238039
linux,D32768,PENDING64,reopen,60,32.958819,30.773964,32.958789,38.59815,41.19852375,22555712,22555712,195478,195493,238005,238039
linux,D131072,READY,tag_encode,60,59.929412,41.248939,51.225004,79.53089,74.911765,10624016,10624016,840643,840660,989424,989442
linux,D131072,READY,file_save,60,201.673856,70.464121,83.316362,117.318688,100.836928,10637648,10670200,840643,840660,989424,989442
linux,D131072,READY,reopen,60,182.879265,146.113672,180.675524,190.810799,228.59908125,90764272,90764168,840643,840660,989424,989442
linux,D131072,PENDING64,tag_encode,60,52.038211,42.10729,44.311671,47.038413,65.04776375,13247560,13247560,840679,840689,989535,989552
linux,D131072,PENDING64,file_save,60,196.999733,68.828396,72.643371,74.622216,98.4998665,10638816,10671368,840679,840689,989535,989552
linux,D131072,PENDING64,reopen,60,181.357218,137.883901,184.801527,217.208689,226.6965225,90773344,90773328,840679,840689,989535,989552
