platform,fixture,pattern,stage,samples,p50_ms,p95_ms,max_ms,allocation_p95,compressed_min,compressed_max
windows,D4096,READY,tag_encode,60,1.159,1.557,1.7185,351000,31282,31300
windows,D4096,READY,file_save,60,4.6745,5.5305,10.532,399680,31282,31300
windows,D4096,READY,reopen,60,4.9761,6.0225,6.8715,2804712,31282,31300
windows,D4096,PENDING64,tag_encode,60,1.0423,1.2416,1.5497,434744,31437,31445
windows,D4096,PENDING64,file_save,60,3.9189,4.4344,5.1315,400936,31437,31445
windows,D4096,PENDING64,reopen,60,3.745,4.191,4.6082,2813880,31437,31445
windows,D32768,READY,tag_encode,60,9.0095,13.0142,14.3931,2675344,237909,237925
windows,D32768,READY,file_save,60,18.6296,25.5928,28.7074,2724192,237909,237925
windows,D32768,READY,reopen,60,36.3323,54.3172,56.4175,22546368,237909,237925
windows,D32768,PENDING64,tag_encode,60,11.1411,14.9539,15.4846,3332632,238005,238039
windows,D32768,PENDING64,file_save,60,19.0912,25.6709,26.838,2725432,238005,238039
windows,D32768,PENDING64,reopen,60,32.0434,46.5349,50.7666,22555512,238005,238039
windows,D131072,READY,tag_encode,60,45.3623,64.7913,86.3123,10623840,989424,989442
windows,D131072,READY,file_save,60,78.3912,96.5267,115.3281,10672688,989424,989442
windows,D131072,READY,reopen,60,153.5113,209.2242,239.0421,90763984,989424,989442
windows,D131072,PENDING64,tag_encode,60,46.4396,60.0194,71.1899,13247208,989535,989552
windows,D131072,PENDING64,file_save,60,77.2599,98.1994,117.4049,10674056,989535,989552
windows,D131072,PENDING64,reopen,60,153.6386,200.3622,231.8358,90773128,989535,989552
linux,D4096,READY,tag_encode,60,0.88496,1.695331,8.067787,350872,31282,31300
linux,D4096,READY,file_save,60,4.65298,5.515381,6.802997,396960,31282,31300
linux,D4096,READY,reopen,60,4.123715,5.923894,11.01265,2804680,31282,31300
linux,D4096,PENDING64,tag_encode,60,0.964315,1.397488,1.726829,435096,31437,31445
linux,D4096,PENDING64,file_save,60,4.358093,5.386052,6.441602,398424,31437,31445
linux,D4096,PENDING64,reopen,60,3.526319,7.023861,7.52789,2814080,31437,31445
linux,D32768,READY,tag_encode,60,10.180743,11.42994,15.618357,2675520,237909,237925
linux,D32768,READY,file_save,60,18.308527,19.971142,26.80554,2721704,237909,237925
linux,D32768,READY,reopen,60,52.817038,55.778853,56.950106,22546552,237909,237925
linux,D32768,PENDING64,tag_encode,60,9.033561,9.742756,10.54177,3332984,238005,238039
linux,D32768,PENDING64,file_save,60,15.692107,17.618193,18.388207,2722872,238005,238039
linux,D32768,PENDING64,reopen,60,30.773964,32.958789,38.59815,22555712,238005,238039
linux,D131072,READY,tag_encode,60,41.248939,51.225004,79.53089,10624016,989424,989442
linux,D131072,READY,file_save,60,70.464121,83.316362,117.318688,10670200,989424,989442
linux,D131072,READY,reopen,60,146.113672,180.675524,190.810799,90764168,989424,989442
linux,D131072,PENDING64,tag_encode,60,42.10729,44.311671,47.038413,13247560,989535,989552
linux,D131072,PENDING64,file_save,60,68.828396,72.643371,74.622216,10671368,989535,989552
linux,D131072,PENDING64,reopen,60,137.883901,184.801527,217.208689,90773328,989535,989552
